# guardian
## Zhao Yunlan (赵云澜 / 趙云瀾, Zhào Yúnlán)
Chief Zhao|Chief Zhào
Zhao Yun Lan|Zhào Yúnlán
Yunlan|Yúnlán
## in the past: Kunlan Kūnlún | 昆仑
Kunlun|Kūnlún
## Shen Wei (沈巍	Shěn Wēi) or Xiao Wei Xiǎo Wēi 小巍
Shen Wei|Shěn Wēi
Professor Shen|Professor Shěn
Hei Pao Shi|Hēi Páo Shǐ
Xiao Wei|Xiǎo Wēi")
## Zhao Xinci (赵心慈	Zhào Xīncí)
Zhao Xin Ci|Zhào Xīncí
## Guo Ying 郭英 Guō Yīng
Guo Ying|Guō Yīng
## Guo Changcheng 郭长城 Guō Chángchéng
Guo Chang Cheng|Guō Chángchéng
## Zhu Hong 祝红 Zhù hóng
Zhu Hong|Zhù Hóng
## Da Qing 大庆 Dàqìng
Da Qing|Dà Qìng
## Chu Shuzhi 楚恕之 Chǔ shù zhī
Chu Shu Zhi|Chǔ Shùzhī
## Wang Zheng 汪徵 Wāng zhēng
Wang Zheng|Wāng Zhēng
## Lin Jing 林静 Lín Jìng
Lin Jing|Lín Jìng
## Sang Zan 桑赞 Sāng Zàn
Sang Zan|Sāng Zàn
## Old Li 老李 lǎo Lǐ Old Lǐ
Old Li|Old Lǐ
Lao Li|Lǎo Lǐ
## Ye Zun 夜尊 Yè Zūn
Ye Zun|Yè Zūn
## Zhu Jiu 烛九 Zhú jiǔ
Zhu Jiu|Zhú jiǔ
## Ya Qing 鸦青 Yā Qīng
Ya Qing|Yā Qīng
## Sha Ya 沙雅 Shā Yǎ
Sha Ya|Shā Yǎ
## Wang Xiangyang 王向阳 Wáng Xiàngyáng
Wang Xiang Yang|Wáng Xiàngyáng
## Li Qian 李茜 Lǐ Qiàn
Li Qian|Lǐ Qiàn
## Cheng Xinyan 成心妍 Chéng Xīnyán
Cheng Xin Yan|Chéng Xīnyán
## Ouyang Zhen 欧阳贞 Ōuyáng Zhēn
Ou Yang Zhen|Ōuyáng Zhēn
## Professor Zhou 周教授 Zhōu-jiàoshòu
Professor Zhou|Professor Zhōu
Teacher Zhou|Teacher Zhōu
Zhou Jiao Shou|Zhōu-jiàoshòu
## Wu Tian'en 吴天恩 Wú Tiān'ēn
Wu Tian En|Wú Tiān'ēn
## Wu Xiaojun 吴晓君 Wú Xiǎojūn
Wu Xiao Jun|Wú Xiǎojūn
## Fourth Uncle 四叔 Sì Shū
si shu|Sì Shū
## Ying Chun 迎春 Yíng Chūn
Ying Chun|Yíng Chūn
## Cong Bo 丛波 Cóng Bō
Cong Bo|Cóng Bō
## Gao Jingfeng 高劲风 Gāo Jìngfēng
Gao Jing Feng|Gāo Jìngfēng
## An Bai 安柏 Ān Bǎi
An Bai|Ān Bǎi
## Ye Huo 野火 Yě Huǒ
Ye Huo|Yě Huǒ
## Da Ji 大吉 Dà Jí
Da Ji|Dà Jí
## Bai Suxia 白素霞 Bái Sùxiá
Bai Su Xia|Bái Sùxiá
## Shen Xi 沈溪 Shěn Xī
Shen Xi|Shěn Xī
## Zhang Shi 獐狮 Zhāng Shī
Zhang Shi|Zhāng Shī
## Chu Nianzhi 楚念之 Chǔ Niànzhī
Chu Nian Zhi|Chǔ Niànzhī
## Guo Changjiang 郭长江 Guō Chángjiāng
Guo Chang Jiang|Guō Chángjiāng
## Guo Xiong 郭雄 Guō Xióng
Guo Xiong|Guō Xióng

# PLACES
## Dragon City (龙城 Lóng chéng)
Long Cheng|Lóng Chéng
Long City|Lóng City

# TERMS
## Haixing 海星 Hǎixīng
Hai Xing|Hǎixīng
## Dixing 地星(人) Dexīngrén
Di Xing Ren|Dixīngrén
Di Xing|Dixīng
Ya Shou|Yàshòu
## Rebel Chieftain 贼酋 zéiqiú
Zei Qiu|Zéiqiú
## Regent  摄政官 shèzhènggūan
She Zheng Guan|Shèzhènggūan
