# Mostly from: https://lunatique.dreamwidth.org/221558.html
## I (irrationalpie) changed some capitalization and spacing?
## But I was just guessing

# Láng Yá Băng  琅琊榜
lang ya bang|Láng Yá Băng

# Part 1 - Main Cast (MCS, NH, JY, LC)
## Méi Cháng Sū 梅长苏
mei chang su|Méi Chángsū
chang su|Chángsū
## Sū Zhé 苏哲
su zhe|Sū Zhé
## Lín Shū 林殊
lin shu|Lín Shū
## xiăo-Shū 小殊
xiao shu|xiăo-Shū
## Zōng zhŭ 宗主 (Chief)
zong zhu|Zōngzhŭ
## Sū xiānsheng 苏先生 (Sir Su)
su xian sheng|Sū xiānsheng
sir su|Sir Sū
su manor|Sū Manor
## Sū gēge 苏哥哥 (big brother)
su gege|Sū gēge
## Mù Ní Huáng 穆霓凰
## Ní Huáng jiějie  霓凰姐姐 (big sister)
mu ni huang|Mù Níhuáng
ni huang|Níhuáng
mu manor|Mù Manor
## Ní Huáng Jùn Zhŭ  霓凰郡主 (Princess/Duchess)
## idk if this title can go alone, but here's my attempt
## at capitalization
Níhuáng jun zhu|Níhuáng jùnzhŭ
jun zhu|Jùnzhŭ
## Xiāo Jĭng Yán 萧景琰
xiao jing yan|Xiāo Jĭngyán
jing yan|Jĭngyán
## Jìng wáng 靖王 (Prince Jing)
jing wang|Jìng wáng
prince jing|Prince Jìng
jing manor|Jìng Manor
## Diàn xià 殿下 (your highness)
dian xia|Diànxià
## Shŭi Niú 水牛 (water buffalo)
shui niu|Shŭiniú

# Lìn Chén 蔺晨 / Lìn Chén gēge 蔺晨哥哥 (big brother)
lin chen ge ge|Lìn Chén gēge
lin chen|Lìn Chén
## Shào Gé Zhŭ 少阁主(Young Master)
## ¯\_(ツ)_/¯ no idea on spacing/caps
shao ge zhu|Shào Gézhŭ

# Part 2 - Jiang Zuo Alliance (FL,LG,ZP,GY,TL,MiaoYin,Mr13,PhysYan)
## Jiāng Zuŏ Méng 江左盟 (Jiang Zuo Alliance)
jiang zuo meng|Jiāngzuŏ Méng
jiang zuo|Jiāngzuŏ
## Fēi Liú 飞流
Fei Liu|Fēi Liú
## Lí Gāng 黎纲
li gang|Lí Gāng
## Zhēn Píng 甄平
zhen ping|Zhēn Píng
## Gōng Yŭ 宫羽 (I think I also heard her called guniang/姑娘?)
gong yu|Gōng Yŭ
gong gu niang|Gōng gūniang
## Wèi Zhēng 卫峥
wei zheng|Wèi Zhēng
## Tóng Lù 童路
tong lu|Tóng Lù
## Shísān xiānsheng 十三先生(Mr. Shisan)
shi san xian sheng|Shísān xiānsheng
## Yàn dàifu  晏大夫(Physician Yan)
yan daifu|Yàn dàifu

# Part 3 - Households (MQ,LX,JinYang,NF,LZY,QM,TS,Foya,etc)
## Chìyàn Jūn 赤焰军 (Chìyàn army)
chiyan jun|Chìyàn Jūn
chiyan|Chìyàn
## Cháng Lín Jūn 长林军 (Cháng Lín army)
changlin jun|Chánglín Jūn
changlin|Chánglín

# Mù Qīng  穆青 / Qīng-er 青儿
mu qing|Mù Qīng
qing er|Qīng-er
## General Lín Xiè 林燮 / fù shuài 父帅 (father-general)
lin zie|Lín Xiè
fu shuai|fùshuài
## Jìn Yáng 晋阳 (Grand Princess Jin Yang) (lin shu's mother)
jin yang|Jìnyáng
## lin manor, lin family
lin manor|Lín Manor
lin family|Lín family
## Niè Fēng 聂锋 / Niè dage 聂大哥
nie feng|Niè Fēng
nie dage|Niè dàgē
## Niè Duó 聂铎
nie duo|Niè Duó

# Liè Zhàn Yīng 列战英
lie zhan ying|Liè Zhànyīng
zhan ying|Zhànyīng
## Qī Mĕng 戚猛
qi meng|Qī Mĕng
## Xiāo Tíng Shēng 萧庭生
xiao ting sheng|Xiāo Tíngshēng
ting sheng|Tíngshēng
## Fóyá 佛牙
fo ya|Fóyá

# Part 4 - Royal Palace (dadperor, JYu,JH,CP,Jingmom,consorts)
## Liáng Royal Family
## Xiāo Xuǎn 萧选 / Bì Xià 陛下 (your majesty) aka dadperor
xiao xuan|Xiāo Xuǎn
bi xia|Bìxià
