# titles
da ren|dàren
gui fei|gùifēi
fu ren|fūren
## I *think* guniang is this --> 姑娘?
gu niang|gūniang
## gongzi (公子, gōngzī)
gong zi|gōngzī

# sibling relations
## Eldest brother: 大哥
da ge|dàgē
## Elder brother: 哥哥
ge ge|gēge
ge|gē
## Elder sister 姐姐
jie jie|jiějie
## sect sister (elder) 师姐
shi jie|shījiě|https://archive.org/download/mdzs-pronunciation-guide/shijie.mp3
jie|jiě
## Elder brother (more formal) 兄长
xiong zhang|Xiōngzhǎng
## (name-)xiong (兄 Xiōng)
xiong|xiōng

# misc
## Jiāng Hú 江湖
jiang hu|Jiānghú
## guqin ( Chinese: 古琴;  pinyin: gǔqín)
gu qin|gǔqín|https://archive.org/download/mdzs-pronunciation-guide/guqin.mp3

shi fu|Shīfù
shi zun|Shīzūn
lao shi|Lăoshī
shi shu|Shīshū
shi bo|Shībó
shi gu|Shīgū
shu shu|Shūshu
a yi|Āyí
xiong di|Xiōngdì
di di|Dìdì
mei mei|Mèimei
zhang men shi xiong|Zhǎngmén Shīxiōng
jun shang|Jūnshàng
da wang|Dàwáng
shi xiong|Shīxiōng
shi gong|Shīgōng
shi ye|Shīyé
shi zhi|Shīzhí
shi ge|Shīgē
shi di|Shīdì
shi mei|Shīmèi
dan tian|Dāntián
wei qi|wéiqí
shi niang|Shīniáng
zong zhu|Zōngzhŭ
jiu jiu|Jiùjiu
shi chen|Shíchén
zong shi|zōngshī
qian bei|qiánbèi
wan bei|wǎnbèi
qing gong|qīnggōng
feng shui|fēngshuǐ
dao|dào
qi|Qì
cun|cùn
#li|lǐ #<- if uncommented it will substitute within the html
lao|Lǎo
